date,pmi,business_outlook_survey,business_confidence_index,consumer_confidence_index,industrial_production,mgdp,business_sales,new_residential_sales,inventories,unemployment_rate,employment,weekly_hours,hourly_earnings,consumer_credit,personal_income,federal_debt,exports,imports,ppi,cpi,monetary_base,bank_assets,bank_liabilities,mortgage_rate,federal_funds_rate,treasury_bill,treasury_bill_10,effective_exchange_rate,spot_euro_us,nyse_composite_index,vix,quarterly_gdp
1992-01-31,47.3,-2.2,99.06807,97.67429,63.3374,9480.079,517626,281,808292,7.3,108369,40.6,10.64,798.98271,7051.6,4009.3,41809.5,35403.7,115.6,138.3,333149,3388025.3,3155908.5,8.68,4.03,3.8,7.31,95.05,1.2946,2423.179932,17.40,
1992-02-28,52.7,0.6,99.57458,97.93494,63.7911,9521.41,520289,269,809600,7.4,108311,40.7,10.67,799.64038,7084,4021.4,41370.6,37702.1,116,138.6,331242,3396845.4,3157122.6,8.83,4.06,3.84,7.27,96.7,1.2629,2396.110107,16.68,
1992-03-31,54.6,15,99.9949,98.40262,64.3212,9600.051,530715,279,812725,7.4,108365,40.7,10.69,799.44211,7091.7,4038.0,42681.2,37208.1,116.1,139.1,335595,3403027.7,3165157.4,8.98,3.98,4.04,7.54,98.83,1.2304,2412.929932,16.18,1.197051658
1992-04-30,52.6,20.1,100.1801,98.77415,64.8088,9606.322,533290,274,815453,7.4,108519,40.9,10.72,797.65814,7112.9,4049.1,43398.8,36558.4,116.3,139.4,333124,3407139.5,3164263.7,8.85,3.73,3.75,7.61,98.1,1.2424,2362.379883,15.53,
1992-05-31,55.7,17,100.3029,98.98566,65.0202,9588.476,536742,273,815016,7.6,108649,40.9,10.74,797.6679,7147.1,4126.6,43954.1,36012,117.2,139.7,334541,3398683.5,3156536.4,8.6,3.82,3.63,7.33,97,1.2681,2402.350098,13.86,
1992-06-30,53.6,15,100.2247,98.99191,65.0295,9716.826,541482,273,820447,7.8,108715,40.8,10.77,797.27631,7177.8,4194.9,44954.1,38356.1,118,140.1,337098,3410264.2,3166271.8,8.43,3.76,3.66,7.14,95.63,1.3032,2430.899902,13.35,1.084353347
1992-07-31,53.9,27.8,100.0668,98.80591,65.6172,9734.277,545177,271,825098,7.7,108793,40.8,10.79,798.06816,7173,4226.8,44989.4,37501.9,117.9,140.5,340424,3408329.3,3155374.7,8.05,3.25,3.21,6.72,94.11,1.3706,2397.590088,13.17,
1992-08-31,53.4,16.7,99.81853,98.64365,65.2943,9714.495,541368,269,826136,7.6,108925,40.8,10.81,799.8238,7198.8,4316.0,45466.5,36444.8,117.7,140.8,342727,3421904.2,3164660.1,8.01,3.3,3.13,6.62,93.74,1.4019,2470.659912,13.58,
1992-09-30,49.7,21,99.562,98.63249,65.446,9748.625,546733,265,827513,7.6,108959,40.7,10.82,800.1989,7165.6,4341.8,45670.9,37469.5,118,141.1,346903,3441550.4,3176893.8,8.02,3.22,2.91,6.37,93.92,1.3867,2421.600098,14.28,0.98827193
1992-10-31,50.3,-4.9,99.60894,98.91066,65.9369,9803.366,545987,264,827914,7.3,109139,40.8,10.85,799.55599,7119.7,4299.2,46159.5,38931.7,118.1,141.7,349808,3444617.9,3181254.2,8.21,3.1,2.86,6.80,96.02,1.3252,2418.530029,16.15,
