date,business_confidence_index,industrial_production,business_sales,new_residential_sales,unemployment_rate,weekly_hours,cpi,bank_assets,federal_funds_rate,quarterly_gdp
1992-01-31,99.06807,63.3374,517626,281,7.3,40.6,138.3,3388025.3,4.03,
1992-02-28,99.57458,63.7911,520289,269,7.4,40.7,138.6,3396845.4,4.06,
1992-03-31,99.9949,64.3212,530715,279,7.4,40.7,139.1,3403027.7,3.98,1.197051658
1992-04-30,100.1801,64.8088,533290,274,7.4,40.9,139.4,3407139.5,3.73,
1992-05-31,100.3029,65.0202,536742,273,7.6,40.9,139.7,3398683.5,3.82,
1992-06-30,100.2247,65.0295,541482,273,7.8,40.8,140.1,3410264.2,3.76,1.084353347
1992-07-31,100.0668,65.6172,545177,271,7.7,40.8,140.5,3408329.3,3.25,
1992-08-31,99.81853,65.2943,541368,269,7.6,40.8,140.8,3421904.2,3.3,
1992-09-30,99.562,65.446,546733,265,7.6,40.7,141.1,3441550.4,3.22,0.98827193
1992-10-31,99.60894,65.9369,545987,264,7.3,40.8,141.7,3444617.9,3.1,
1992-11-30,99.92915,66.2174,550285,262,7.4,40.9,142.1,3460051.4,3.09,
1992-12-31,100.2379,66.2772,552282,265,7.4,40.9,142.3,3461996.7,2.92,1.043164688
1993-01-31,100.4139,66.5643,558864,266,7.3,41.1,142.8,3447389.1,3.02,
1993-02-28,100.3252,66.8594,558311,267,7.1,41.1,143.1,3455137.1,3.03,
1993-03-31,100.0106,66.7658,554939,270,7,40.8,143.3,3475199.1,3.07,0.167400308
1993-04-30,99.63477,67,560899,272,7.1,41.4,143.8,3484842.1,2.96,
1993-05-31,99.42178,66.7674,568488,275,7.1,41,144.2,3515863.3,3,
1993-06-30,99.29305,66.8781,566266,275,7,40.9,144.3,3547046.7,3.04,0.582419625
1993-07-31,99.30399,67.0845,566307,278,6.9,41.1,144.5,3575984.5,3.06,
1993-08-31,99.4147,67.014,566668,286,6.8,41.1,144.8,3587016.2,3.03,
1993-09-30,99.61328,67.3345,571317,287,6.7,41.3,145,3599622,3.09,0.477314733
1993-10-31,99.91699,67.8515,577000,290,6.8,41.3,145.6,3589436.6,2.99,
1993-11-30,100.1961,68.1326,577705,293,6.6,41.3,146,3600886.1,3.02,
1993-12-31,100.4518,68.5054,577177,293,6.5,41.4,146.3,3617033.4,2.96,1.3601133269999999
1994-01-31,100.6266,68.7648,584335,294,6.6,41.4,146.3,3653662.4,3.05,
1994-02-28,100.7517,68.7836,588455,295,6.6,40.9,146.7,3670614.4,3.25,
1994-03-31,100.8612,69.4766,595174,298,6.5,41.7,147.1,3692928.8,3.34,0.970216278
1994-04-30,100.9789,69.8703,596719,297,6.4,41.8,147.2,3700650.1,3.56,
1994-05-31,101.0987,70.2281,600167,302,6.1,41.8,147.5,3719876.9,4.01,
1994-06-30,101.1786,70.6763,605009,315,6.1,41.8,147.9,3726728.2,4.25,1.355045866
1994-07-31,101.1995,70.7846,610274,319,6.1,41.8,148.4,3770112.4,4.26,
1994-08-31,101.2201,71.2053,619487,323,6,41.7,149,3781681.8,4.47,
1994-09-30,101.2884,71.4767,619872,331,5.9,41.6,149.3,3788887.1,4.73,0.584515241
1994-10-31,101.3097,72.082,628003,330,5.8,41.8,149.4,3806996.4,4.76,
1994-11-30,101.2014,72.5263,631779,333,5.6,41.8,149.8,3815413.1,5.29,
1994-12-31,100.9621,73.2879,642382,336,5.5,41.8,150.1,3837951.4,5.45,1.145524445
1995-01-31,100.7341,73.4219,644664,341,5.6,41.8,150.5,3876153.7,5.53,
1995-02-28,100.3502,73.3025,645312,346,5.4,41.7,150.9,3895659.5,5.92,
1995-03-31,99.85166,73.4081,641172,346,5.4,41.5,151.2,3931632.5,5.98,0.35475614200000005
1995-04-30,99.35798,73.3612,649536,348,5.8,41,151.8,3990296.8,6.05,
1995-05-31,98.89407,73.6104,647742,349,5.6,41.1,152.1,4018222.2,6.01,
1995-06-30,98.74976,73.8602,654819,348,5.6,41.2,152.4,4036787.8,6,0.298340877
1995-07-31,98.86971,73.5664,653374,344,5.7,41.1,152.6,4078424.8,5.85,
1995-08-31,98.81873,74.495,657867,350,5.7,41.2,152.9,4090820.1,5.74,
1995-09-30,98.73582,74.7937,664775,353,5.6,41.2,153.1,4121768.5,5.8,0.850677535
1995-10-31,98.57965,74.7017,662186,359,5.5,41.2,153.5,4133053.3,5.76,
1995-11-30,98.43521,74.8897,665470,366,5.6,41.3,153.7,4135024,5.8,
1995-12-31,98.35676,75.1755,678351,370,5.6,40.9,153.9,4165471.6,5.6,0.679021028
1996-01-31,98.33327,74.6841,660384,369,5.6,39.7,154.7,4200997.9,5.56,
1996-02-29,98.434,75.8344,659667,355,5.5,41.3,155,4196829.1,5.22,
1996-03-31,98.67538,75.7631,676171,368,5.5,41.1,155.5,4201056.4,5.31,0.74894682
1996-04-30,99.00977,76.4562,677571,368,5.6,41.2,156.1,4230186.3,5.22,
1996-05-31,99.30782,77.0161,684012,361,5.6,41.4,156.4,4238522.7,5.24,
1996-06-30,99.56104,77.6669,688433,355,5.3,41.5,156.7,4253597.6,5.27,1.667847426
1996-07-31,99.53901,77.5662,687240,350,5.5,41.4,157,4267706.1,5.4,
1996-08-31,99.54297,78.016,689698,342,5.1,41.5,157.2,4268635.2,5.22,
1996-09-30,99.5553,78.5532,695693,330,5.2,41.6,157.7,4296680.7,5.3,0.896991377
1996-10-31,99.66064,78.5065,695132,328,5.2,41.4,158.2,4310163.5,5.24,
1996-11-30,99.92173,79.1996,703118,330,5.4,41.5,158.7,4352959.4,5.31,
1996-12-31,100.1397,79.7143,700632,322,5.4,41.7,159.1,4374201.6,5.29,1.038381988
1997-01-31,100.1526,79.8273,703995,308,5.3,41.4,159.4,4408896.8,5.25,
1997-02-28,100.1092,80.793,717856,301,5.2,41.6,159.7,4465006.8,5.19,
1997-03-31,100.1434,81.334,718114,288,5.2,41.8,159.8,4504621.3,5.39,0.645564365
1997-04-30,100.2604,81.3531,718072,290,5.1,41.8,159.9,4549547.4,5.51,
1997-05-31,100.4598,81.8293,714459,287,4.9,41.7,159.9,4577190.9,5.5,
1997-06-30,100.5956,82.2285,722329,288,5,41.6,160.2,4584374.3,5.56,1.662001454
1997-07-31,100.714,82.8557,727789,289,4.9,41.6,160.4,4620480,5.52,
1997-08-31,100.6495,83.7214,727996,287,4.8,41.7,160.8,4658162.2,5.54,
1997-09-30,100.5325,84.4651,731885,284,4.9,41.7,161.2,4680290.5,5.54,1.250848033
1997-10-31,100.5404,85.1918,730220,284,4.7,41.8,161.5,4711549.3,5.5,
1997-11-30,100.4783,85.9397,737474,281,4.6,41.8,161.7,4771163.5,5.52,
1997-12-31,100.3301,86.2047,733753,281,4.7,42,161.8,4783024.5,5.5,0.858816513
1998-01-31,100.1637,86.6474,731998,282,4.6,41.9,162,4835286,5.56,
1998-02-28,100.0112,86.7612,740145,281,4.6,41.7,162,4874081.2,5.51,
1998-03-31,99.87811,86.8198,741535,284,4.7,41.6,162,4932993.5,5.49,0.999479915
1998-04-30,99.69521,87.1411,740194,287,4.3,41.2,162.2,4946535.7,5.45,
1998-05-31,99.4511,87.6952,742797,287,4.4,41.5,162.6,4946956.8,5.49,
1998-06-30,99.21868,87.145,736319,286,4.5,41.4,162.8,4990200.7,5.56,0.9258071379999999
1998-07-31,99.10836,86.8423,733450,285,4.5,41.4,163.2,5003867.1,5.54,
1998-08-31,99.05302,88.6247,738109,286,4.5,41.4,163.4,5060754.5,5.55,
1998-09-30,98.98544,88.4515,743466,289,4.6,41.3,163.5,5124085.8,5.51,1.252567402
1998-10-31,98.91599,89.1677,750044,293,4.5,41.4,163.9,5204436.1,5.07,
1998-11-30,98.86606,89.1098,752546,292,4.4,41.4,164.1,5244568.1,4.83,
1998-12-31,98.93739,89.4407,755797,294,4.4,41.5,164.4,5250370.8,4.68,1.615880229
1999-01-31,99.25021,89.8594,757956,284,4.3,41.3,164.7,5260614,4.63,
1999-02-28,99.55866,90.3386,765555,285,4.4,41.4,164.7,5253793.2,4.76,
1999-03-31,99.78815,90.4819,765106,289,4.2,41.3,164.8,5235986.9,4.81,0.9464718809999999
1999-04-30,99.97308,90.7274,769819,290,4.3,41.3,165.9,5242049.4,4.74,
1999-05-31,100.1838,91.352,780742,295,4.2,41.4,166,5271334.2,4.74,
1999-06-30,100.3197,91.1994,782058,295,4.3,41.3,166,5319770.5,4.76,0.7691586420000001
1999-07-31,100.3453,91.7766,785830,297,4.3,41.4,166.7,5312463.9,4.99,
1999-08-31,100.4907,92.1629,795418,298,4.2,41.5,167.1,5324012.7,5.07,
1999-09-30,100.7332,91.774,796663,301,4.2,41.4,167.8,5366442.6,5.22,1.309664834
1999-10-31,100.9205,92.9979,805363,303,4.1,41.4,168.1,5397558.9,5.2,
1999-11-30,101.0207,93.4371,809613,305,4.1,41.4,168.4,5471939,5.42,
1999-12-31,100.9798,94.1593,817543,308,4,41.4,168.8,5562731.4,5.3,1.699585031
2000-01-31,100.8221,94.1758,825947,311,4,41.5,169.3,5589977.6,5.45,
2000-02-29,100.625,94.4557,816007,299,4.1,41.5,170,5643905.2,5.73,
2000-03-31,100.43,94.798,831117,313,4,41.4,171,5701443.6,5.85,0.36176015200000006
2000-04-30,100.2382,95.4808,834242,305,3.8,41.6,170.9,5760799.3,6.02,
2000-05-31,100.0048,95.6435,829024,305,4,41.2,171.2,5837626.7,6.27,
2000-06-30,99.7852,95.7353,839338,306,4,41.3,172.2,5871470.4,6.53,1.8311646719999999
2000-07-31,99.63353,95.5906,833896,303,4,41.5,172.7,5905692.2,6.54,
2000-08-31,99.41904,95.3112,829271,302,4.1,41,172.7,5934287,6.5,
2000-09-30,99.22414,95.679,845436,300,3.9,41.1,173.6,5973141.8,6.52,0.133555285
2000-10-31,98.97704,95.397,838446,301,3.9,41.1,173.9,5990928.9,6.51,
2000-11-30,98.60194,95.4229,834423,305,3.9,41.1,174.2,5990957.1,6.51,
2000-12-31,98.0424,95.1573,841752,298,3.9,40.4,174.6,6067300.2,6.4,0.622889589
2001-01-31,97.59172,94.5448,834365,296,4.2,40.6,175.6,6150116.6,5.98,
2001-02-28,97.42321,93.9398,836825,296,4.2,40.5,176,6137724.6,5.49,
2001-03-31,97.48158,93.7201,823781,292,4.3,40.5,176.1,6187962,5.31,-0.285177655
2001-04-30,97.58432,93.4469,818875,294,4.4,40.4,176.4,6229731.6,4.8,
2001-05-31,97.69891,92.876,827229,295,4.3,40.4,177.3,6219697.5,4.21,
2001-06-30,97.95201,92.3208,815240,301,4.5,40.3,177.7,6207647.9,3.97,0.58455579
2001-07-31,98.24629,91.7933,812016,305,4.6,40.6,177.4,6223868.6,3.77,
2001-08-31,98.4549,91.6795,817526,308,4.9,40.3,177.4,6252346.3,3.65,
2001-09-30,98.30611,91.3289,803309,310,5,40.2,178.1,6473735,3.07,-0.415038093
2001-10-31,97.98022,90.9315,815803,308,5.3,40.1,177.6,6387049.2,2.49,
2001-11-30,98.12402,90.486,808360,308,5.5,40.1,177.5,6405313.4,2.09,
2001-12-31,98.56587,90.5073,805951,308,5.7,40.2,177.4,6393343.8,1.82,0.272371373
2002-01-31,99.17865,91.0794,805181,310,5.7,40.1,177.7,6382770.2,1.73,
2002-02-28,99.8183,91.0553,808150,313,5.7,40.3,178,6378837.7,1.74,
2002-03-31,100.248,91.798,808563,316,5.7,40.5,178.5,6348771.4,1.73,0.8745142159999999
2002-04-30,100.4158,92.1771,822418,324,5.9,40.6,179.3,6378218.1,1.75,
2002-05-31,100.4277,92.5668,822178,327,5.8,40.6,179.5,6396140.7,1.75,
2002-06-30,100.2459,93.4476,825351,328,5.8,40.7,179.6,6431103.4,1.75,0.605732536
2002-07-31,99.85531,93.2237,825966,333,5.8,40.4,180,6474476.3,1.73,
